poop,幺,"""There's something sticking out of you while you're in private. It's <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">poop</span>! You can't just poop in public, that's illegal and gross in this day and age. So the next time something starts to come out of you when you're in private, think, """"Ah yes, it's poop.""""""",,251,level3 radical
spoon,匕,"""This radical looks like a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">spoon</span>! Well, a spoon that's been bent a lot by an angry person or a psychic. Go grab a spoon and try to bend it into this shape. Then hold on to it so you'll never forget that this is the spoon radical!""",,252,level3 radical
task,用,"""This looks a bit like a calendar with spaces for you to write in your <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">task</span>s for the day. See those blank sections? Make sure you write down your daily tasks, so you don't forget to do something important!""",,253,level3 radical
towel,巾,"""There's something draped over that stick. It's a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">towel!</span>! Imagine taking a wet towel and hanging it over a railing or a stick so it won't get all musty and gross. It would look just like this.""",,254,level3 radical
triceratops,,"""The three horns represent the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">triceratops</span>, one of the most awesome dinosaurs ever.""","""<i class=""""radical-triceratops""""></i>""",255,level3 radical
winter,夂,"""This looks kind of like a footprint, but not an ordinary, old footprint. A snowshoe footprint in the snow. Why? Because it's <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">winter</span>! And everyone knows the snowshoe footprint is the universal symbol for winter.""",,256,level3 radical
alligator,也,"""See the mouth and teeth of this <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">alligator</span>, which is facing to the right? You wouldn't want to get your hand stuck in there, that's for sure.""",,358,level4 radical
bamboo,竹,"""See how tall the stalks are with little bushy things at the top? It kind of looks like <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">bamboo</span>, if you use your imagination.""",,359,level4 radical
bed,巴,"""You'll have to complete the line on the right side in your mind, but see the rectangle <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">bed</span> and the pillows? This is totally a bed. That missing line is where you pulled back the sheets when you got up this morning.""",,360,level4 radical
beggar,,"""Doesn't this look like someone on their knees, holding their hands out (clasped) and begging for something (money, their life, etc.)? That's why this radical is known as the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">beggar</span>.""","""<i class=""""radical-beggar""""></i>""",361,level4 radical
branch,支,"""There is a cross growing out of this stool. It's <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">branch</span>ing off of it, if you will. The tree that this stool was made of is coming back to life in the form of a branch.""",,362,level4 radical
car,車,"""Doesn't this look like a top-down view of the frame of a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">car</span>? There are the rods that make up the base of the car and things for the wheels to go on. That's why this radical is the car radical.""",,363,level4 radical
ceremony,弋,"""This radical looks like a person with a long dress or train running behind them. That's because it's a bride or groom going to their wedding <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ceremony</span>! You usually have to wear a long dress or a cape if you're at a ceremony. So when you see this radical, think of all the different ceremonies you might have to go to in your life and what you'll need to wear.""",,364,level4 radical
cliff,厂,"""See the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">cliff</span>? It's facing towards the west. What ocean is to your west? That's the direction this cliff is facing.""",,365,level4 radical
ear,耳,"""This radical is a bit more elaborate than the eye, though similar. In fact, if you go blind, your <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ear</span>s become one of your new senses of sight, which is why this is like another, somewhat modified, eye. You'll even notice little lines sticking out of the eye. That's because ears stick out more than eyes (<span lang=""""ja"""">目</span>), which is why this radical is the ear radical.""",,366,level4 radical
energy,气,"""This radical is shaped kind of like a dam. See the wall and the water pushing over the top? If this radical is a dam, then it must create a ton of <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">energy</span> as well!""",,367,level4 radical
flowers,艹,"""See the little things sticking out of the ground? Those little things are pretty little <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">flowers</span>. You know they're flowers and not, say, grass, because they're spaced out. You'll learn grass later, and it will be less spaced out, but somewhat similar to this, so keep that in mind!""",,368,level4 radical
