REFOLD_INDEX,WORD,READING,DEFINITION,WORD AUDIO
400,殴る,なぐる,to punch,[sound:JP1K_400_naguru_word.mp3]
401,誘う,さそう,to invite,[sound:JP1K_401_sasou_word.mp3]
402,暮らす,くらす,"to live, to get along",[sound:JP1K_402_kurasu_word.mp3]
406,関係,かんけい,"relationship, connection",[sound:JP1K_406_kankei_word.mp3]
407,時計,とけい,"clock, watch",[sound:JP1K_407_tokei_word.mp3]
408,大きな,おおきな,"big, loud",[sound:JP1K_408_ookina_word.mp3]
409,掛かる,かかる,to hang,[sound:JP1K_409_kakaru_word.mp3]
410,酷い,ひどい,"awful, terrible",[sound:JP1K_410_hidoi_word.mp3]
413,親,おや,parents,[sound:JP1K_413_oya_word.mp3]
414,安い,安い,cheap,[sound:JP1K_414_i_word.mp3]
415,大好き,だいすき,love,[sound:JP1K_415_daisuki_word.mp3]
416,可愛い,かわいい,cute,[sound:JP1K_416_kawaii_word.mp3]
418,数,かず,"number, quantity",[sound:JP1K_418_kazu_word.mp3]
419,減る,へる,to decrease,[sound:JP1K_419_heru_word.mp3]
